Date,UWGN
2024-12-09,47.9
2024-12-10,46.0
2024-12-11,46.6
2024-12-12,45.6
2024-12-13,45.0
2024-12-16,43.15
2024-12-17,44.0
2024-12-18,46.05
2024-12-19,45.65
2024-12-20,52.05
2024-12-23,52.5
2024-12-24,50.6
2024-12-25,50.8
2024-12-26,50.5
2024-12-27,46.35
2024-12-28,45.6
2024-12-30,46.9
2025-01-03,47.1
2025-01-06,47.25
2025-01-08,48.45
2025-01-09,46.75
2025-01-10,46.95
2025-01-13,47.05
2025-01-14,46.95
2025-01-15,47.8
2025-01-16,47.5
2025-01-17,48.85
2025-01-20,48.25
2025-01-21,48.1
2025-01-22,47.9
2025-01-23,48.1
2025-01-24,47.9
2025-01-27,47.5
2025-01-28,49.6
2025-01-29,48.85
2025-01-30,49.2
2025-01-31,48.05
2025-02-03,47.84
2025-02-04,47.58
2025-02-05,47.88
2025-02-06,47.74
2025-02-07,47.32
2025-02-10,46.92
2025-02-11,47.36
2025-02-12,48.8
2025-02-13,48.28
2025-02-14,48.0
2025-02-17,52.08
2025-02-18,49.38
2025-02-19,50.7
2025-02-20,50.04
2025-02-21,50.6
2025-02-24,51.78
2025-02-25,57.8
2025-02-26,55.4
2025-02-27,58.38
2025-02-28,59.5
2025-03-03,57.22
2025-03-04,58.32
2025-03-05,57.26
2025-03-06,56.5
2025-03-07,56.02
2025-03-10,55.72
2025-03-11,55.24
2025-03-12,53.62
2025-03-13,55.08
2025-03-14,55.74
2025-03-17,56.46
2025-03-18,55.48
2025-03-19,56.0
2025-03-20,55.44
2025-03-21,55.02
2025-03-24,53.48
2025-03-25,54.02
2025-03-26,52.98
2025-03-27,51.0
2025-03-28,49.24
2025-03-31,47.66
2025-04-01,46.82
2025-04-02,47.4
2025-04-03,46.78
2025-04-04,43.54
2025-04-07,42.06
2025-04-08,40.28
2025-04-09,42.74
2025-04-10,42.36
2025-04-11,43.58
2025-04-14,42.68
2025-04-15,43.2
2025-04-16,42.88
2025-04-17,43.34
2025-04-18,42.86
2025-04-21,43.6
2025-04-22,44.68
2025-04-23,43.82
2025-04-24,44.16
2025-04-25,44.86
2025-04-28,44.02
2025-04-29,42.08
2025-04-30,41.4
2025-05-02,40.6
2025-05-05,40.4
2025-05-06,41.02
2025-05-07,40.88
2025-05-08,41.34
2025-05-12,42.58
2025-05-13,42.0
2025-05-14,40.4
2025-05-15,41.5
2025-05-16,41.04
2025-05-19,41.18
2025-05-20,40.52
2025-05-21,40.14
2025-05-22,39.26
2025-05-23,40.28
2025-05-26,38.82
2025-05-27,38.88
2025-05-28,39.84
2025-05-29,38.78
2025-05-30,39.06
2025-06-02,39.12
2025-06-03,40.52
2025-06-04,40.12
2025-06-05,40.58
2025-06-06,39.8
2025-06-09,39.82
2025-06-10,39.98
2025-06-11,39.76
2025-06-13,39.3
2025-06-16,39.18
2025-06-17,39.42
2025-06-18,39.54
2025-06-19,39.1
2025-06-20,38.38
2025-06-23,37.7
2025-06-24,38.52
2025-06-25,38.22
2025-06-26,38.36
2025-06-27,38.34
2025-06-30,38.84
2025-07-01,38.68
2025-07-02,41.0
2025-07-03,39.74
2025-07-04,39.12
2025-07-07,38.54
2025-07-08,37.78
2025-07-09,37.88
2025-07-10,37.72
2025-07-11,36.12
2025-07-14,37.12
2025-07-15,37.18
2025-07-16,37.16
2025-07-17,36.62
2025-07-18,37.38
2025-07-21,38.14
2025-07-22,37.9
2025-07-23,37.66
2025-07-24,37.58
2025-07-25,37.28
2025-07-28,37.12
2025-07-29,36.96
2025-07-30,37.14
2025-07-31,36.88
2025-08-01,36.58
2025-08-04,36.88
2025-08-05,36.94
2025-08-06,37.12
2025-08-07,37.48
2025-08-08,38.2
2025-08-11,40.28
2025-08-12,40.1
2025-08-13,39.24
2025-08-14,40.56
2025-08-15,40.12
2025-08-18,40.08
2025-08-19,40.12
2025-08-20,39.56
2025-08-21,38.7
2025-08-22,38.88
2025-08-25,38.84
2025-08-26,39.08
2025-08-27,40.16
2025-08-28,38.9
2025-08-29,39.16
2025-09-01,39.38
2025-09-02,38.9
2025-09-03,38.78
2025-09-04,38.7
2025-09-05,38.98
2025-09-08,39.6
2025-09-09,39.5
2025-09-10,38.92
2025-09-11,39.3
2025-09-12,38.14
2025-09-15,37.6
2025-09-16,37.92
2025-09-17,37.78
2025-09-18,37.1
2025-09-19,36.66
2025-09-22,36.5
2025-09-23,35.88
2025-09-24,36.16
2025-09-25,35.84
2025-09-26,35.62
2025-09-29,34.9
2025-09-30,34.64
2025-10-01,33.86
2025-10-02,32.4
2025-10-03,29.4
2025-10-06,30.18
2025-10-07,30.3
2025-10-08,29.7
2025-10-09,29.9
2025-10-10,29.04
2025-10-13,29.62
2025-10-14,29.2
2025-10-15,29.02
2025-10-16,30.56
2025-10-17,31.28
2025-10-20,31.46
2025-10-21,30.2
2025-10-22,29.52
2025-10-23,29.42
2025-10-24,29.28
2025-10-27,28.54
2025-10-28,28.84
2025-10-29,28.64
2025-10-30,29.64
2025-10-31,29.6
2025-11-01,29.22
2025-11-03,29.7
2025-11-05,29.34
2025-11-06,29.46
2025-11-07,30.08
2025-11-10,29.94
2025-11-11,29.86
2025-11-12,30.2
2025-11-13,30.0
2025-11-14,29.7
2025-11-17,29.16
2025-11-18,29.5
2025-11-19,29.92
2025-11-20,30.18
2025-11-21,30.1
2025-11-24,30.26
2025-11-25,30.38
2025-11-26,30.18
2025-11-27,29.82
2025-11-28,30.24
2025-12-01,30.08
2025-12-02,30.0
2025-12-03,30.12
2025-12-04,30.46
2025-12-05,31.04
2025-12-08,30.92
2025-12-09,31.42
2025-12-10,31.5
2025-12-11,31.88
2025-12-12,31.38
2025-12-15,31.58
2025-12-16,32.08
2025-12-17,31.86
2025-12-18,32.14
2025-12-19,31.78
2025-12-22,31.04
2025-12-23,30.58
2025-12-24,30.34
2025-12-25,30.16
2025-12-26,30.58
2025-12-29,30.26
2025-12-30,30.08
